,query,label
0,آیا درس فلان همیشه توسط یک استاد ارایه میشود؟,1
1,آیا میشه درسی از ارشد برداشت؟,1
2,لطفاً اختیاری های بهتری ارايه کنید ما انتخابی نداریم,4
3,آیا میتوانیم درس شبکه های عصبی ارشد را برداریم؟,1
4,هیچکس در دانشگاه واسخگوی مطالبات دانشجویان نیست,4
5,آیا سیاست های جدید دولت بر قیمت نفت تاثیر دارد؟,5
6,چرا سرور دانشکده پایین است؟,3
7,لطفا به من درباره دانشکده توضیح مختصری بدهید.,2
8,لطفا نمره ی پروژه ی درس برنامه نویسی بیشتر شود.,4
9,هوا هفته ی آینده بارانی است.,5
10,زمان شروع کلاس ها به چه صورت است؟,1
11,آبخوری دانشکده کجاست؟,2
12,جریمه کتاب به ازای هر روز دیرکرد چقدر است؟,3
13,قیمت بازی فیفا چقدر است؟,5
14,قسمت جدید دیمن اسلیر کی منتشر میشه؟,5
15,رییس دانشکده کیه؟,2
16,لطفا بهم میگید برای حذف پزشکی چیکار کنم,1
17,آیا فیزیک 2 در دانشکده ی ما ارائه میشود؟,1
18,مدیر گروه رباتیک و هوش مصنوعی چه کسی است؟,1
19,چه تعداد کتاب در کتابخانه ی دانشکده داریم؟,3
20,دکتر ملک این ترم درسی ارائه میدن؟,1
21,امتحانات دکتر فلانی بی نهایت سخت هستند.,4
22,لطفا مهلت انجام پروژه ها رو بیشتر کنید.,4
23,ارزش پول ملیمون واقعا کم شده.,5
24,آیا هنوز برای انجام نظرسنجی اساتید فرصت هست؟,1
25,در صورت عدم انجام نظر سنجی اساتید چه اتفاقی میوفته.,1
26,اگر در یک ترم دو درس رو بیوفتیم چه اتفاقی میوفته؟,1
27,چطوری میشه از اینجا به دانشکده ی حقوق رفت؟,2
28,دانشگاه شب ها تا چه ساعتی بازه؟,2
29,میتونم لپتاپمو بزنم اینجا شارژ بشه؟,3
30,اجازه دارم غذا بخورم داخل کتابخانه؟,3
31,مجله انگلیسی یا فرانسوی برای قرض گرفتن دارید؟,3
32,یه دو تا دونه درس اختیاری درست حسابی آخرسر ارائه ندادید.,1
33,آخر سر نفهمیدیم چرا دکنر الوانی رو نمیذارید درس ارائه بدن.,1
34,انتخاب واحدی که اینقدر دردسر داشته باشه مفت نمی‌ارزه.,1
35,چرا باید همیشه موقع انتخاب واحد اینقدر اذیت بشیم؟,1
36,دکتر قوامی‌زاده به درس‌های حوزه هوش مصنوعی کمتر بها می‌دهند.,1
37,چرا اساتید خودشون قانون ۱۰ روز کاری را رعایت ‌نمیکنند؟,1
38,میخوام کارنامه رسمی بگیرم. از کجا بگیرم؟,2
39,چه ساعاتی از روز دانشکده بازه؟,2
40,هیچوقت اساتید چرا در دفتر خودشان حضور ندارند؟,2
41,اتاق بازی چرا دیگر وجود خارجی ندارد؟,2
42,چجوری دلتون اومد از لابی دانشکده هم پول دربیارید؟:),2
43,امروز دندون پزشکی پدرم درومد. سه ساعت ترافیک بود.,5
44,مغازه عباس آقا کجاست؟,5
45,یه نگاه به سرووضع خودت انداختی تاحالا؟ خجالت بکش.,5
46,دیشب تا کله برف اومد اینجا.,5
47,هر کسی ارشد این دانشگاه بخونه کار احمقانه ای کرده است.,5
48,میدونستی یه زمانی دکتر ناظمی هم درس اختیاری ارائه میدادند؟,5
49,امشب برنامت چیه؟,5
